function,decomposed_baseline,baseline_pyzx,decomposed_factorized,factorized_pyzx,baseline_qubits,factorized_qubits,baseline_gates,factorized_gates,baseline_basic_gates,factorized_basic_gates,baseline_pyzx_qubits,factorized_pyzx_qubits,baseline_pyzx_gates,factorized_pyzx_gates,baseline_pyzx_seconds,factorized_pyzx_seconds
adder4_bit3,189,111,126,78,21,15,49,64,427,316,21,15,576,466,1.561187744140625,1.1330854892730713
adder4_bit4,581,335,434,256,45,31,135,162,1297,1030,45,31,1825,1418,10.059550523757935,7.637044668197632
adder5_bit4,581,335,434,256,47,33,137,164,1299,1032,47,33,1753,1407,11.174001932144165,5.717875003814697
adder5_bit5,1589,911,1274,738,111,81,343,410,3521,2958,111,81,4580,4019,233.56659507751465,89.83980894088745
majority11,16891,,14119,,1118,796,3966,3909,37748,32147,,,,,600.0193552970886,600.0140287876129
majority7,945,543,763,429,67,37,219,251,2109,1777,67,37,2687,2164,31.065258741378784,14.740057468414307
shor_modexp_7_mod15_bit0,7,7,7,7,11,11,4,4,18,18,11,11,37,37,0.7390038967132568,0.6999108791351318
shor_modexp_7_mod15_bit1,7,7,7,7,11,11,3,3,17,17,11,11,38,38,0.828054666519165,0.7070839405059814
