function,decomposed_baseline,baseline_pyzx,decomposed_factorized,factorized_pyzx,baseline_qubits,factorized_qubits,baseline_gates,factorized_gates,baseline_basic_gates,factorized_basic_gates,baseline_pyzx_qubits,factorized_pyzx_qubits,baseline_pyzx_gates,factorized_pyzx_gates,baseline_pyzx_seconds,factorized_pyzx_seconds
4gt10_22,42,28,49,35,9,9,8,15,92,113,9,9,144,174,0.8786013126373291,0.9586014747619629
eosops1_100,84,48,70,40,12,10,12,14,180,154,12,10,246,199,1.0891318321228027,0.995743989944458
life_d_100,3472,,2681,,235,150,922,799,7866,6161,,,,,600.0080819129944,600.0116667747498
newtag_d_100,252,148,224,142,27,23,59,67,563,515,27,23,774,719,2.1671111583709717,2.0408079624176025
rd53f2_100,112,56,91,43,12,9,32,47,256,229,12,9,333,271,1.3278586864471436,1.0421946048736572
rd84f4_100,2023,1159,1624,932,138,90,546,533,4592,3781,138,90,5768,4738,502.59795689582825,160.0477271080017
sao2f2_100,1148,656,1022,580,89,69,268,282,2564,2326,89,69,3232,3117,117.63869142532349,76.15325045585632
xor8,77,47,133,83,16,19,37,48,191,314,16,19,267,441,1.1372487545013428,1.2057480812072754
