function,decomposed_baseline,baseline_pyzx,decomposed_factorized,factorized_pyzx,baseline_qubits,factorized_qubits,baseline_gates,factorized_gates,baseline_basic_gates,factorized_basic_gates,baseline_pyzx_qubits,factorized_pyzx_qubits,baseline_pyzx_gates,factorized_pyzx_gates,baseline_pyzx_seconds,factorized_pyzx_seconds
4mod5_8,28,8,14,8,7,7,12,26,68,54,7,7,65,73,0.7800698280334473,0.7941339015960693
alu_9,56,32,49,31,10,9,24,33,136,131,10,9,195,188,0.8842604160308838,0.8945550918579102
rd84f1_100,343,199,273,127,25,12,109,163,795,709,25,12,1290,780,2.7221224308013916,2.514756202697754
rd84f2_100,0,0,0,0,11,11,24,24,24,24,11,11,10,10,0.863502025604248,0.7308063507080078
ryy6_198,3759,,2156,,268,143,634,396,8152,4708,,,,,600.0144741535187,600.0130224227905
sao2f4_100,1015,583,896,534,80,68,231,228,2261,2020,80,68,2829,2687,121.98698329925537,70.25532793998718
xor5_d_100,0,0,0,0,8,8,13,13,13,13,8,8,7,7,0.7321808338165283,0.771376371383667
