function,decomposed_baseline,baseline_pyzx,decomposed_factorized,factorized_pyzx,baseline_qubits,factorized_qubits,baseline_gates,factorized_gates,baseline_basic_gates,factorized_basic_gates,baseline_pyzx_qubits,factorized_pyzx_qubits,baseline_pyzx_gates,factorized_pyzx_gates,baseline_pyzx_seconds,factorized_pyzx_seconds
9sym_d_100,4207,,3346,,287,199,974,917,9388,7609,,,,,600.0207319259644,600.0132088661194
con1f1_100,133,75,119,73,17,13,31,33,297,271,17,13,400,402,1.4587671756744385,1.348111867904663
exam3_d_100,49,31,42,28,9,8,15,18,113,102,9,8,158,168,0.9836418628692627,0.9981293678283691
rd73f1_100,273,151,224,98,22,11,79,114,625,562,22,11,856,610,2.622051954269409,2.5224833488464355
rd73f2_100,0,0,0,0,10,10,19,19,19,19,10,10,9,9,0.8984470367431641,0.8932907581329346
rd73f3_100,945,543,763,429,67,37,219,251,2109,1777,67,37,2687,2164,53.968432903289795,22.458491802215576
sf_232,49,31,49,31,9,8,16,19,114,117,9,8,171,169,0.9982821941375732,0.9708788394927979
t481_d_100,308,184,238,112,35,23,85,91,701,567,35,23,962,679,3.0460336208343506,2.5376505851745605
