function,decomposed_baseline,baseline_pyzx,decomposed_factorized,factorized_pyzx,baseline_qubits,factorized_qubits,baseline_gates,factorized_gates,baseline_basic_gates,factorized_basic_gates,baseline_pyzx_qubits,factorized_pyzx_qubits,baseline_pyzx_gates,factorized_pyzx_gates,baseline_pyzx_seconds,factorized_pyzx_seconds
6sym,588,340,434,260,45,31,145,147,1321,1015,45,31,1818,1399,8.937776803970337,10.450553178787231
con2f2_100,77,47,70,36,14,12,24,27,178,167,14,12,245,203,1.111884593963623,1.1196343898773193
max46_d_100,3360,,2891,,231,166,776,785,7496,6567,,,,,600.018205165863,600.0217537879944
mux_185,1008,576,840,436,88,56,208,200,2224,1880,88,56,2836,2440,81.08428001403809,29.183464288711548
newill_d_100,420,240,413,251,38,33,101,118,941,944,38,33,1219,1270,4.77676796913147,5.052959680557251
rd53f1_100,175,103,133,81,18,14,33,39,383,305,18,14,530,438,1.5359845161437988,1.0412180423736572
rd84f3_100,91,55,91,55,17,17,13,13,195,195,17,17,294,294,0.940546989440918,0.924511194229126
sao2f3_100,1078,616,875,497,84,62,261,231,2417,1981,84,62,2974,2513,83.26147627830505,46.24117660522461
