function,decomposed_baseline,baseline_pyzx,decomposed_factorized,factorized_pyzx,baseline_qubits,factorized_qubits,baseline_gates,factorized_gates,baseline_basic_gates,factorized_basic_gates,baseline_pyzx_qubits,factorized_pyzx_qubits,baseline_pyzx_gates,factorized_pyzx_gates,baseline_pyzx_seconds,factorized_pyzx_seconds
life_d_100,3472,1988.0,2681,1555.0,235,150,922,799,7866,6161,235.0,150.0,9568.0,8119.0,5095.242959976196,1260.525069952011
majority9,4452,2548.0,3794,2204.0,297,203,1041,1062,9945,8650,297.0,203.0,12752.0,12318.0,9295.157622098925,2541.3346860408783
max46_d_100,3360,1924.0,2891,1677.0,231,166,776,785,7496,6567,231.0,166.0,9625.0,9434.0,3790.921904087066,1601.9610373973846
ryy6_198,3759,2151.0,2156,1130.0,268,143,634,396,8152,4708,268.0,143.0,10514.0,5890.0,6383.284494638443,759.7024035453796
shor_modexp_2_mod21_bit0,5362,3068.0,4487,2627.0,351,238,1282,1285,12006,10259,351.0,238.0,15455.0,14664.0,13445.940751075745,4910.804032325745
shor_modexp_2_mod21_bit1,3052,1744.0,2520,1438.0,206,133,672,668,6776,5708,206.0,133.0,8619.0,8531.0,2343.6860444545746,732.3840203285217
shor_modexp_5_mod33_bit0,8505,4863.0,7651,4489.0,556,410,2011,2117,19021,17419,556.0,410.0,24125.0,28064.0,68585.83601999283,35744.687257528305
shor_modexp_5_mod33_bit1,10129,,8764,,663,464,2431,2484,22689,20012,,,,,28799.934918642044,28799.95143032074
